observation_start_date,observation_end_date,county_name,cbsa_name,cbsa_type,area_id,cbsa_id,inflow,outflow,income_diff,lat,lon
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086006001,33100,77,0,-19269.5,25.742834114880019,-80.297316045238
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000214,33100,43,18,14007.8,25.9315273360996,-80.172602739540437
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000216,33100,60,64,-21401.3,25.922163106316873,-80.179690818637539
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086009311,33100,43,56,27729.3,25.875898431549185,-80.305954827634721
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000708,33100,17,43,20377.0,25.862508833072518,-80.297261393462691
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000218,33100,0,17,,25.903735467723635,-80.18082993088305
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000710,33100,86,21,6182.0,25.8450210369994,-80.306563111264268
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086016900,33100,12,39,3439.0,25.707167254088063,-80.419905269449373
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086008306,33100,106,57,-18028.0,25.620995027856488,-80.354304423997561
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086009503,33100,35,18,-11603.1,25.934018886763152,-80.236877460108659
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086008206,33100,17,12,-55000.0,25.636647174425622,-80.328556635464309
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086010012,33100,34,97,-8905.2,25.955442012813283,-80.256168554528884
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000901,33100,37,57,6179.0,25.864254828703793,-80.2524317522678
